,CID,CanonicalSMILES,name
52,657180,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,Leuprolide Acetate
53,3366,C1=NC(=O)NC(=C1F)N,Flucytosine
54,5665,C=CC(CCC(=O)O)N,Vigabatrin
55,92044397,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC(=C(C=C7)O)OS(=O)(=O)[O-])O)O)C(CC(=O)N)O)C)O)O)O.[Na+],Micafungin (sodium)
56,3385,C1=C(C(=O)NC(=O)N1)F,5-Fluorouracil
57,564,C(CCC(=O)O)CCN,6-Aminocaproic acid
58,6262,C(CC(C(=O)O)N)CN,L-Ornithine
59,16052011,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,Goserelin (acetate)
60,5311498,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],Vitamin B12
85,135401907,C1=NNC2=C1C(=O)NC=N2,Allopurinol
86,3767,C1=CN=CC=C1C(=O)NN,Isoniazid
87,338,C1=CC=C(C(=C1)C(=O)O)O,Salicylic acid
88,2972,CC1=C(C(=O)C=CN1C)O,Deferiprone
89,6209,C[N+](C)(C)CCO.[Cl-],Choline (chloride)
90,3090,CC1=NC=C(N1C)[N+](=O)[O-],Dimetridazole
91,3291,CCC1(CC(=O)NC1=O)C,Ethosuximide
92,4843,C1CC(=O)N(C1)CC(=O)N,Piracetam
93,667493,CC1=CC(=O)NC(=S)N1,Methylthiouracil
94,5576,CC1(C(=O)N(C(=O)O1)C)C,Trimethadione
95,71113,CCCC(CCC)C(=O)N,Valpromide
96,637568,COC(=O)C=CC(=O)OC,Dimethyl fumarate
97,3121,CCCC(CCC)C(=O)O,Valproic acid
98,54679224,C1=C(C(=CNC1=O)Cl)O,Gimeracil
99,12597,C1C(C2C(O1)C(CO2)O)O,Isosorbide
100,6420023,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O.Cl,Vancomycin (hydrochloride)
102,5852,CC(C)(C(C(=O)O)N)S,Penicillamine
103,65526,C1=CC(=CC=C1CN)C(=O)O,4-(Aminomethyl)benzoic acid
104,11499245,B1(C2=C(CO1)C=C(C=C2)F)O,AN-2690
105,46930981,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-],Bleomycin (sulfate)
106,4075,C1=CC(=C(C=C1N)C(=O)O)O,5-Aminosalicylic Acid
107,11545,C[N+](C)(C)CC(=O)O.[Cl-],Betaine (hydrochloride)
108,5310993,CC1=CN=C(C=[N+]1[O-])C(=O)O,Acipimox
109,2310,CCC1(CC(=O)NC(=O)C1)C,Bemegride
110,967,C1=C(NC(=O)NC1=O)C(=O)O,Orotic acid
111,5526,C1CC(CCC1CN)C(=O)O,Tranexamic acid
112,204,C1(C(=O)NC(=O)N1)NC(=O)N,Allantoin
113,4626,C1C(CN(C1=O)CC(=O)N)O,Oxiracetam
114,16760658,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],Sodium Salicylate
115,16134395,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,Daptomycin
129,12035,CC(=O)NC(CS)C(=O)O,Acetylcysteine
130,5483,CC(C(=O)NCC(=O)O)S,Tiopronin
131,23662354,C(CS(=O)(=O)[O-])S.[Na+],Mesna
132,3282,CCOC1=CC=CC=C1C(=O)N,2-Ethoxybenzamide
133,14219,CN(C)C(=N)N=C(N)N.Cl,Metformin (hydrochloride)
134,71666447,C=CC(CCC(=O)O)N.Cl,Vigabatrin (Hydrochloride)
135,16760703,CCCC(CCC)C(=O)[O-].[Na+],Valproic acid (sodium salt)
136,64184,C1C2CC3CC(C2)(CC1C3=O)O,Idramantone
137,2761171,CCC1=NC=CC(=C1)C(=S)N,Ethionamide
138,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,6-Thioguanine
139,23676143,C(CC(=O)[O-])C(C(=O)O)N.[Na+],L-Glutamic acid monosodium salt 
142,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Chlorzoxazone
143,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,Gallic acid
144,2724350,C1=NC2=C(N1)C(=S)N=CN2.O,6-Mercaptopurine hydrate
145,5284583,CCC(C(=O)N)N1CCCC1=O,Levetiracetam
146,657298,CCCC1=CC(=O)NC(=S)N1,Propylthiouracil
147,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Metronidazole
148,3446,C1CCC(CC1)(CC(=O)O)CN,Gabapentin
149,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Menadione
150,5333,C1=CC(=CC=C1N)S(=O)(=O)N,Sulfanilamide
151,135445761,C[N+]1=CC=CC=C1C=NO.[Cl-],Pralidoxime (chloride)
154,65784,CC(=O)N1CC(CC1C(=O)O)O,Oxaceprol
155,1995,CC(C)CC(C(=O)O)NC(=O)C,Acetylleucine
156,2005,CC(=O)NCCCCCC(=O)O,6-Acetamidohexanoic acid
157,17854870,COC1C(C(C(C(O1)COS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)[O-])OC3C(C(C(C(O3)COS(=O)(=O)[O-])OC4C(C(C(C(O4)C(=O)[O-])OC5C(C(C(C(O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Fondaparinux (sodium)
159,4021,CC1=NN(C(=O)C1)C2=CC=CC=C2,Edaravone
160,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O,L-Ascorbic acid
161,93095,CC1C(O1)P(=O)([O-])[O-].[Ca+2],Fosfomycin (calcium)
162,5497,CCN(CC)C(=O)C1=CN=CC=C1,Nikethamide
163,134669,C(CO)CSCC(C(=O)O)N,Fudosteine
164,66370,C(C1C(C(C(C(O1)O)O)O)O)O.O,Dextrose
165,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Aspirin
166,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,Theophylline
167,666418,CCCC1=NC=CC(=C1)C(=S)N,Prothionamide
168,6060,CC(=O)OCC[N+](C)(C)C.[Cl-],Acetylcholine (chloride)
169,10969,CC(CCCC(C)(C)O)N.Cl,Heptaminol (hydrochloride)
170,6251,C(C(C(C(C(CO)O)O)O)O)O,D-Mannitol
171,5780,C(C(C(C(C(CO)O)O)O)O)O,D-Sorbitol
172,135398738,CN(C)N=NC1=C(NC=N1)C(=O)N,Dacarbazine
174,4059,CC1=CC=CC=C1OCC(CO)O,Mephenesin
175,2724354,C(C(C(=O)O)S)(C(=O)O)S,Succimer
176,107121,C1C(C1N)C2=CC=CC=C2.C1C(C1N)C2=CC=CC=C2.OS(=O)(=O)O,Tranylcypromine (hemisulfate)
177,10715,CC(C)C(CC=C)C(=O)NC(=O)N,Apronal
178,5634,C=CCCCCCCCCC(=O)O,10-Undecenoic acid
179,71815,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],Secnidazole
180,40632,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,Pirfenidone
181,5258,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],Sodium phenylbutyrate
182,31072,CCOC(=O)N1C=CN(C1=S)C,Carbimazole
183,64150,C1C2CC3CC1CC(C2)(C3)N.Cl,Amantadine (hydrochloride)
184,182230,CC(=O)NC(CCC(=O)N)C(=O)O,Aceglutamide
185,2266,C(CCCC(=O)O)CCCC(=O)O,Azelaic acid
186,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,Antipyrine
187,5453,C1CN1P(=S)(N2CC2)N3CC3,Thio-TEPA
188,65340,C1=CC(=C(C=C1CCN)O)O.Cl,Dopamine (hydrochloride)
189,2741,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,Chromocarb
190,121396,C(CC(=O)O)C(C(=O)O)NC(=O)N,Carglumic Acid
191,19910,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],Nitroxoline
192,17141,CC1(CCC(CC1)C(C)(C)O)O.O,Terpin (hydrate)
193,27661,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O,Isosorbide mononitrate
194,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Citric acid
195,5935,CN(CCCl)CCCl.Cl,Chlormethine (hydrochloride)
196,71651,C1=CC=C(C=C1)C(=O)NCCC(=O)O,Betamipron
197,2482,CCCCOC(=O)C1=CC=C(C=C1)N,Butamben
198,5394,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Temozolomide
199,120181,C1CNCCN1.O.O.O.O.O.O,Piperazine (hexahydrate)
200,7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,9-Aminoacridine
201,3610,CCCCCCC1=C(C=C(C=C1)O)O,Hexylresorcinol
202,8567,CNCC(C(C(C(CO)O)O)O)O,Meglumine
203,9373,CN(CC#C)CC1=CC=CC=C1.Cl,Pargyline (hydrochloride)
204,6114,CC(C[N+](C)(C)C)OC(=O)C.[Cl-],Methacholine (chloride)
205,105024,C[Se]CCC(C(=O)O)N,L-SelenoMethionine
206,9351,C1=CC=C2C(=C1)C=NN=C2NN.Cl,Hydralazine (hydrochloride)
207,11548,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],Bethanechol (chloride)
208,6048,C1CN=C(N1)CC2=CC=CC=C2.Cl,Tolazoline (hydrochloride)
209,3562,C(C(F)(F)F)(Cl)Br,Halothane
210,23667548,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],L-Ascorbic acid sodium salt
211,5447130,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,Nitrofurazone
212,3516,COC1=CC=CC=C1OCC(CO)O,Guaifenesin
213,53297457,CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)OC1CC(C(C(O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O.OP(=O)(O)O.OP(=O)(O)O,Oritavancin (diphosphate)
214,2450,C(C(CO)([N+](=O)[O-])Br)O,Bronopol
215,5094,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],Ronidazole
216,5386,C1CC(OC1)N2C=C(C(=O)NC2=O)F,Tegafur
217,155434,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],Acamprosate (calcium)
218,8307,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],Edrophonium (chloride)
219,688020,CCN(C1=CC=CC=C1C)C(=O)C=CC,Crotamiton
220,12303426,CNCC(C1=CC(=CC=C1)O)O.Cl,(R)-(-)-Phenylephrine (hydrochloride)
221,131204,CC(C)(CO)C(C(=O)NCCCO)O,D-Panthenol
222,5531,CCN(CC)C1=CC(=NC2=NC=NN12)C,Trapidil
223,3305,CC(O)(P(=O)(O)O)P(=O)(O)O,Etidronic acid
224,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Ibuprofen
225,441314,C1C(C(C(C(N1CCO)CO)O)O)O,Miglitol
226,2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,Ciclopirox
227,76621,C1COCCN1C(=N)N=C(N)N.Cl,Moroxydine (hydrochloride)
228,6453919,C1CCC(CC1)(CC(=O)O)CN.Cl,Gabapentin (hydrochloride)
229,12132,C1=CC=C(C=C1)CC2=NC3=CC=CC=C3N2,Bendazol
230,68643,CNCCC1=CC=CC=N1.Cl.Cl,Betahistine (dihydrochloride)
231,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Minoxidil
232,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Altretamine
233,66250,C(CC(C(=O)O)N)CN=C(N)N.Cl,L-Arginine (hydrochloride)
234,47528,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],Nicorandil
235,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,Milrinone
236,92044461,C1=CC(=C(C=C1N)[O-])C(=O)[O-].O.O.[Na+].[Na+],p-Aminosalicylic acid (sodium salt dihydrate)
237,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,Zonisamide
238,2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,Benzyl benzoate
239,3332,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,Felbinac
240,2578,C(CCl)NC(=O)N(CCCl)N=O,Carmustine
241,2141,C(CN)CNCCSP(=O)(O)O,Amifostine
242,5324,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,Sulfaguanidine
243,2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,Clofibric acid
244,11033,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N,Sulfacarbamide
245,91431,C(C(C(C(C(C=O)N)O)O)O)O.Cl,Glucosamine (hydrochloride)
246,9859211,CC(CC1=CC=CC=C1OC)NC.Cl,Methoxyphenamine (Hydrochloride)
247,21467,CC1=C(C(=CC=C1)C)OCC(C)N.Cl,Mexiletine (hydrochloride)
248,181458,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,Memantine (hydrochloride)
249,15165,CC(C12CC3CC(C1)CC(C3)C2)N.Cl,Rimantadine (hydrochloride)
250,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,Methoxsalen
251,6095520,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2],Gluconate (Calcium)
252,44093,CC(CS)C(=O)N1CCCC1C(=O)O,Captopril
253,122705999,C(CSCC1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])O)O)C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Sugammadex (sodium)
254,23672301,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Na+],Gluconate (sodium)
255,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Primidone
256,132441,C1C(CN(C1=O)CC(=O)N)C2=CC=CC=C2,Phenylpiracetam
257,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Aniracetam
258,6541429,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],Ornidazole (Levo-)
259,28061,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],Ornidazole
260,20510719,C1CNCCN1.C(C(C(=O)O)O)C(=O)O,Piperazine (malate)
261,4906,CCCNC(C)C(=O)NC1=CC=CC=C1C,Prilocaine
262,15459,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,Metaxalone
263,4760,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Phenindione
264,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Acetazolamide
265,56031,CC1=C(C(=CC=C1)CC2=CN=CN2)C.Cl,Detomidine (hydrochloride)
266,2447,CC(C)C(C(=O)NC(=O)N)Br,Bromisoval
267,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Etamivan
268,2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,Bufexamac
269,59693,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N,Fadrozole
270,26758,CC(CC1=CC=CC=C1)N(C)CC#C.Cl,R-(-)-Deprenyl (hydrochloride)
271,18283,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,Stavudine
272,1892,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,Etofylline
273,5323714,C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],Furazolidone
276,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Acyclovir
277,23009,C1COCCN1CCN2C=NC=C2[N+](=O)[O-],Nimorazole
278,34359,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,Carbidopa
279,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Dithranol
280,4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,Metyrapone
281,6301,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,Chlorquinaldol
282,451668,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,Decitabine
283,4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,Oxybenzone
284,5282440,C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O,Ozagrel
285,4409,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,Nabumetone
286,4602,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O,Osalmid
287,60825,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Lamivudine
288,78357798,CCC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C4CCCN4C(=O)C(CCCNC(=N)N)NC(=O)C5CCCN5C(=O)C(CC6=CC=CC=C6)N.C(=O)(C(F)(F)F)O,Bivalirudin (Trifluoroacetate)
289,156391,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,Naproxen
290,3778,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C,Propyphenazone
291,3671,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,Ibudilast
292,3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,Diazoxide
