h,Empty,Zaltoprofen,Artemether,Minaprine,Piroctone olamine,Norethindrone,Vortioxetine,Gemcitabine (Hydrochloride),Metoclopramide,Nortriptyline (hydrochloride),Protriptyline (hydrochloride),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-7,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Ticlopidine (hydrochloride),Tazobactam,Sodium gualenate,Isotretinoin,Retinoic acid,Allylestrenol,Thiamine monochloride,Mianserin (hydrochloride),Antazoline (hydrochloride),Amiloride hydrochloride dihydrate,Empty
b,Empty,Safinamide,Eicosapentaenoic Acid,Desipramine hydrochloride,Broxyquinoline,Nedaplatin,Neostigmine (Bromide),Flumazenil,Pipemidic acid,Vildagliptin,Clofarabine,Empty
c,Empty,Chlorphenoxamine,Chlorambucil,Dexrazoxane (Hydrochloride),Avibactam (sodium hydrate),Entacapone,Anisodamine,Capsaicin,Risedronate (sodium),Fluconazole,Ruxolitinib,Empty
d,Empty,Vadadustat,Histamine (phosphate),Nitazoxanide,Hydroxyfasudil,Alcaftadine,Betaxolol,Fingolimod,Tafamidis,Faropenem sodium,Bestatin,Empty
e,Empty,Sotalol (hydrochloride),Avobenzone,Bifonazole,Gestodene,Mestranol,Desogestrel,Desloratadine,Ropivacaine hydrochloride,Tolazamide,Dienogest,Empty
f,Empty,Lodoxamide,Cyclobenzaprine (hydrochloride),Tofacitinib,Artemotil,Praziquantel,Olanzapine,Levonorgestrel,Molindone (hydrochloride),Amezinium (methylsulfate),Clenbuterol (hydrochloride),Empty
g,Empty,Amoxapine,Amitriptyline (hydrochloride),Maprotiline (hydrochloride),Venlafaxine (hydrochloride),Sapropterin (dihydrochloride),Valdecoxib,Rofecoxib,Sulfaphenazole,Progesterone,Tolmetin (sodium dihydrate),Empty
h,Empty,Saxagliptin,Rotigotine,Efavirenz,Fotemustine,Ramosetron (Hydrochloride),Doxepin (Hydrochloride),Moxisylyte (hydrochloride),Chlorprothixene,Febuxostat,Imipramine (hydrochloride),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-8,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Metaraminol (tartrate),Tetrabenazine,Nateglinide,Diphenylpyraline (hydrochloride),Diclofenac (Sodium),Belinostat,Fenofibric acid,Imidafenacin,Epalrestat,Mitotane,Empty
b,Empty,Mycophenolic acid,Tropisetron (Hydrochloride),Articaine (hydrochloride),Promazine (hydrochloride),Famciclovir,Asenapine (hydrochloride),Carbazochrome (sodium sulfonate),Gliclazide,Ritodrine (hydrochloride),Cyproheptadine (hydrochloride),Empty
c,Empty,Naftifine (hydrochloride),Procyclidine (hydrochloride),Dolasetron,Acetohexamide,Quinidine,Quinine,Etonogestrel,Levobupivacaine (hydrochloride),Alendronate (sodium hydrate),Dyclonine (hydrochloride),Empty
d,Empty,Dimesna,Hydroquinidine,Ajmaline,Acitretin,1-Docosanol,Clozapine,Niclosamide,Tranilast,Thiamine nitrate,Azaperone,Empty
e,Empty,Loxapine,Fasudil (Hydrochloride),Carteolol (hydrochloride),Ropivacaine (hydrochloride monohydrate),Nitisinone,Trilostane,Pramocaine (hydrochloride),17-Hydroxyprogesterone,Teprenone,Furosemide,Empty
f,Empty,Alosetron (Hydrochloride),Proparacaine (Hydrochloride),Piroxicam,Nizatidine,Esmolol (hydrochloride),Pitolisant (hydrochloride),Zanamivir,Palonosetron (Hydrochloride),Brivudine,L-Epinephrine (Bitartrate),Empty
g,Empty,Duloxetine (hydrochloride),Neostigmine (methyl sulfate),Proglumide,Mitiglinide (Calcium),Nylidrin (hydrochloride),Firocoxib,Thiamine hydrochloride,Tenoxicam,Famotidine,Danazol,Empty
h,Empty,Trihexyphenidyl (hydrochloride),Idebenone,Chlorthalidone,Trimetazidine (dihydrochloride),Topiramate,Phenoxybenzamine (hydrochloride),Miridesap,Norethindrone acetate,Canrenone,Sulpiride,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-9,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Levosulpiride,Dapoxetine (hydrochloride),Lactulose,Sertraline (hydrochloride),Ethacridine (lactate),Hydroxyfasudil (hydrochloride),Buflomedil (hydrochloride),Betaxolol (hydrochloride),Levobetaxolol (hydrochloride),Fingolimod (hydrochloride),Empty
b,Empty,Medroxyprogesterone,Methenolone (acetate),Testosterone (propionate),Clotrimazole,TAK-438 (free base),Omeprazole,Fluoxetine (hydrochloride),Metipranolol hydrochloride,Benzydamine (hydrochloride),Diphenidol (hydrochloride),Empty
c,Empty,Olsalazine (Disodium),Nifedipine,Enoxacin (hydrate),Cephalexin,Adiphenine (hydrochloride),Torsemide,Acrivastine,Bexarotene,Granisetron (Hydrochloride),Voriconazole,Empty
d,Empty,Cefradine,Panobinostat,Biapenem,Vinpocetine,Ranitidine (hydrochloride),Cyproheptadine (hydrochloride sesquihydrate),Clomipramine (hydrochloride),Meloxicam,Tamibarotene,Tazarotene,Empty
e,Empty,Rotigotine (Hydrochloride),Griseofulvin,Tinoridine hydrochloride,Dimemorfan (phosphate),Drofenine (hydrochloride),Butenafine (Hydrochloride),Amorolfine (hydrochloride),Idoxuridine,Aceclofenac,Metoclopramide (hydrochloride hydrate),Empty
f,Empty,Luliconazole,Seratrodast,Vincamine,Etretinate,Succinylsulfathiazole,Rotundine,Pipobroman,Benzamil hydrochloride,Thiamphenicol,Homatropine (Bromide),Empty
g,Empty,Pyrantel (tartrate),Sulindac,Pheniramine (Maleate),Balsalazide,Trelagliptin,Cinacalcet,Rosiglitazone,Oxybutynin,Indomethacin,Cetylpyridinium (chloride monohydrate),Empty
h,Empty,Prednisone,Cilastatin,Etoricoxib,Ibandronate (Sodium Monohydrate),Capecitabine,Piperidolate (hydrochloride),Nitrendipine,Nadifloxacin,Prednisolone,Cortisone,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-10,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Valacyclovir (hydrochloride),Fenofibrate,Dorzolamide (hydrochloride),MLN2238,Ofloxacin,Levofloxacin,Bisacodyl,Ethacridine (lactate monohydrate),Octocrylene,Bezafibrate,Empty
b,Empty,Clemizole (hydrochloride),Phthalylsulfacetamide,Hydrocortisone,Solifenacin,Cefadroxil,Ozenoxacin,Benactyzine hydrochloride,Bumetanide,Labetalol (hydrochloride),Fludarabine (phosphate),Empty
c,Empty,Clofoctol,Cephalexin (monohydrate),Metolazone,Indapamide,Paroxetine (hydrochloride),Rilpivirine,Ilaprazole,Drospirenone,Atovaquone,Cefaclor,Empty
d,Empty,Prucalopride,Galanthamine (hydrobromide),Diacerein,Cinnarizine,Etofenamate,(R)-Lansoprazole,Lansoprazole,Cilostazol,Amisulpride,Homatropine (methylbromide),Empty
e,Empty,Tedizolid,Levofloxacin (hydrate),Parecoxib,Rebamipide,Pamidronate (disodium pentahydrate),Nedocromil,Isradipine,Ampicillin (sodium),Baricitinib,Tamoxifen,Empty
f,Empty,Lornoxicam,Naratriptan (hydrochloride),Finasteride,Acebutolol (hydrochloride),Deferasirox,Prasugrel,Olopatadine (hydrochloride),Iguratimod,Methylprednisolone,Gatifloxacin,Empty
g,Empty,Haloperidol,Ketorolac (tromethamine salt),Desoximetasone,Estradiol (benzoate),Setiptiline (maleate),Phentolamine (mesylate),Naltrexone (Hydrochloride),Propafenone (hydrochloride),Ambroxol,Ambrisentan,Empty
h,Empty,Ospemifene,Quinidine hydrochloride monohydrate,Vortioxetine (hydrobromide),Droperidol,Donepezil,Rabeprazole (sodium),Peramivir (trihydrate),Misoprostol,Loratadine,Anagliptin,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-11,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Quetiapine,Brinzolamide,Bromfenac (sodium hydrate),Bortezomib,Felodipine,Fenoterol (hydrobromide),Scopolamine (hydrobromide),Artesunate,Enalaprilat (dihydrate),Istradefylline,Empty
b,Empty,Elafibranor,Megestrol (Acetate),Ethynodiol (diacetate),Roxatidine (Acetate Hydrochloride),Nilvadipine,Racecadotril,Fosfluconazole,Azasetron (hydrochloride),Medroxyprogesterone (acetate),Atropine (sulfate monohydrate),Empty
c,Empty,Tioconazole,Lomefloxacin (hydrochloride),Benfluorex (hydrochloride),Azaphen (dihydrochloride monohydrate),Amoxicillin (sodium),Nisoldipine,Doxylamine (succinate),Triflupromazine (hydrochloride),Tadalafil,Balofloxacin,Empty
d,Empty,Alfuzosin,Diphenmanil (methylsulfate),Berberine (chloride hydrate),Bicyclol,Regadenoson,Flibanserin,Valganciclovir (hydrochloride),Chlorpheniramine (maleate),Dexchlorpheniramine (maleate),Rauwolscine (hydrochloride),Empty
e,Empty,Permethrin,Diethylcarbamazine (citrate),Icotinib,Rizatriptan (benzoate),Abiraterone (acetate),Latrepirdine (dihydrochloride),Parecoxib (Sodium),Sparfloxacin,Dexamethasone,Betamethasone,Empty
f,Empty,Ivacaftor,Naftopidil,Chenodeoxycholic Acid,Ursodiol,Deoxycholic acid,Pioglitazone (hydrochloride),Erlotinib,Amsacrine,Cinacalcet (hydrochloride),Oxybutynin (chloride),Empty
g,Empty,Triamcinolone,Bendamustine (hydrochloride),Itopride (hydrochloride),Cefdinir,Ketanserin,Toceranib,Mirabegron,Estradiol (cypionate),Quinine (hydrochloride dihydrate),Diiodohydroxyquinoline,Empty
h,Empty,Deracoxib,Faropenem daloxate,Methscopolamine (bromide),Glycopyrrolate,Sulfasalazine,Ademetionine,Sunitinib,Fursultiamine,Solifenacin (hydrochloride),Colchicine,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-12,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Desvenlafaxine (succinate hydrate),Dantrolene (sodium hemiheptahydrate),Rivastigmine (tartrate),Ifenprodil (tartrate),Gefarnate,Mepyramine maleate,Oxyclozanide,Cetilistat,Asenapine (maleate),Fenoldopam (mesylate),Empty
b,Empty,Formoterol (Fumarate),Cortisone (acetate),Prednisolone (21-acetate),Dehydrocholic acid,Cyproterone (acetate),Roflumilast,Benztropine (mesylate),Bambuterol (hydrochloride),Perphenazine,Lesinurad,Empty
c,Empty,Ruxolitinib (phosphate),Tofogliflozin (hydrate),Hydrocortisone (acetate),Lovastatin,Chlormadinone (acetate),Spectinomycin (dihydrochloride),Citalopram (hydrobromide),Pantoprazole (sodium),Taltirelin,Fosphenytoin (disodium),Empty
d,Empty,Carvedilol,Carbinoxamine maleate salt,Sitagliptin,Cefprozil (monohydrate),Trazodone (hydrochloride),Tamsulosin,Dapagliflozin,Amlodipine,Glafenine (hydrochloride),Ezetimibe,Empty
e,Empty,Sitafloxacin (hydrate),Oseltamivir (phosphate),Diflorasone,Flumethasone,Trimipramine (maleate),Pergolide (mesylate),Tiagabine (hydrochloride),Ipratropium (bromide),Adapalene,Bromhexine (hydrochloride),Empty
f,Empty,Decloxizine (dihydrochloride),Noscapine,Sumatriptan (succinate),Podophyllotoxin,Pazufloxacin (mesylate),Escitalopram (oxalate),Domiphen (bromide),Eplerenone,Deoxycholic acid sodium salt,Mefloquine (hydrochloride),Empty
g,Empty,CAL-101,Salmeterol,Acemetacin,Donepezil (Hydrochloride),Ramatroban,Ramipril,Desonide,Spironolactone,Tegaserod (maleate),Gabexate (mesylate),Empty
h,Empty,Azelastine (hydrochloride),Cephalothin (sodium),Nimodipine,Simvastatin,Valbenazine,Dolutegravir,Amoxicillin (trihydrate),Prazosin (hydrochloride),Clopidogrel (hydrogen sulfate),Mepenzolate (Bromide),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-13,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Flupirtine (Maleate),Aminophylline,INT-747,Vismodegib,Rucaparib (phosphate),Choline Fenofibrate,Buspirone (hydrochloride),Methylbenactyzium Bromide,Riociguat,Fludrocortisone (acetate),Empty
b,Empty,(-)-Sparteine (sulfate pentahydrate),Losartan,Benzbromarone,Pirenzepine (dihydrochloride),Trimethobenzamide hydrochloride,Ketotifen (fumarate),Domperidone,Lesinurad (sodium),Iloperidone,Paliperidone,Empty
c,Empty,Teneligliptin,Lenvatinib,Pemetrexed,Mozavaptan,Pimavanserin,Icotinib (Hydrochloride),Flavoxate (hydrochloride),Trospium (chloride),Irbesartan,Hydroxyprogesterone caproate,Empty
d,Empty,Nandrolone decanoate,Pefloxacin (mesylate),Mifepristone,Erlotinib (Hydrochloride),Besifloxacin (Hydrochloride),Bicalutamide,Budesonide,Trandolapril,Lafutidine,10-Undecenoic acid (zinc salt),Empty
e,Empty,(S)-Timolol (Maleate),Latanoprost,Doxapram (hydrochloride hydrate),Mycophenolate mofetil,Brexpiprazole,Kasugamycin (hydrochloride hydrate),Hydroxychloroquine sulfate,Fluvoxamine (maleate),Sivelestat,Olaparib,Empty
f,Empty,Fluvastatin (sodium),Dexamethasone (acetate),Triamcinolone (acetonide),LEE011,Cevimeline (hydrochloride hemihydrate),Etravirine,Brompheniramine (maleate),Aztreonam,Cilazapril (monohydrate),Valsartan,Empty
g,Empty,Rivaroxaban,Methylnaltrexone (Bromide),Estropipate,Oxolamine (citrate),Meropenem (trihydrate),Pazopanib,Doripenem (monohydrate),Scopolamine (butylbromide),Candesartan,Pitavastatin (Calcium),Empty
h,Empty,PCI-32765,Sertindole,Dolutegravir (sodium),Pyrithioxin (dihydrochloride),Folic acid,Oxacillin (sodium monohydrate),Vilazodone,Deflazacort,Troglitazone,Quetiapine (fumarate),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-14,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Dofetilide,Perindopril (erbumine),Nebivolol (hydrochloride),Imidapril (hydrochloride),"UK 14,304 (tartrate)",Eltrombopag,Ibutilide (fumarate),Bephenium (hydroxynaphthoate),Mitoxantrone,Canagliflozin,Empty
b,Empty,Docusate (Sodium),Menaquinone-4,Econazole (nitrate),Glipizide,Loxapine (succinate),Cefuroxime (sodium),Ceftibuten (dihydrate),Olmesartan,Pravastatin (sodium),Gefitinib,Empty
c,Empty,Ampiroxicam,Hydroxyzine (dihydrochloride),Elvitegravir,Aripiprazole,Propantheline (bromide),Zofenopril (calcium),Tolvaptan,Cefoxitin (sodium),Tedizolid (phosphate),Crizotinib,Empty
d,Empty,Sofalcone,Vitamin K1,Empagliflozin,Diltiazem (hydrochloride),Cabergoline,VX-809,Fluocinolone (Acetonide),Tafluprost,Repaglinide,Cefixime,Empty
e,Empty,Danofloxacin (mesylate),Canagliflozin (hemihydrate),Methotrexate,Nafcillin (sodium monohydrate),Halcinonide,Primaquine (Diphosphate),Dichlorisone acetate,Lacidipine,Clevidipine,Azilsartan,Empty
f,Empty,Selumetinib,Topotecan (Hydrochloride),Raltitrexed,Cinobufotalin,Apixaban,Terazosin (hydrochloride dihydrate),Clemastine (fumarate),Oxytetracycline,Apremilast,Alvimopan (dihydrate),Empty
g,Empty,Sulconazole (nitrate),Benazepril (hydrochloride),Losartan (potassium),Lincomycin (hydrochloride hydrate),Clindamycin (hydrochloride),Prulifloxacin,TAK-438,Orphenadrine (citrate),Alogliptin (Benzoate),Pimozide,Empty
h,Empty,Cetirizine (dihydrochloride),Bilastine,Cariprazine (hydrochloride),Meclizine (dihydrochloride),Enzalutamide,Amodiaquin (dihydrochloride dihydrate),Sorafenib,Cisapride,Sarpogrelate (hydrochloride),Mebeverine (hydrochloride),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-15,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Benfotiamine,Loteprednol Etabonate,Clobetasol propionate,Ziprasidone (hydrochloride monohydrate),Tobramycin,Oxethazaine,Clinofibrate,Baricitinib (phosphate),Almotriptan (malate),Belotecan (hydrochloride),Empty
b,Empty,Dimenhydrinate,Pemetrexed (disodium),Tiotropium (Bromide),Linagliptin,Enasidenib,Clofazimine,Rosiglitazone (maleate),Alverine (citrate),Naftidrofuryl (oxalate),Pazopanib (Hydrochloride),Empty
