Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
Rolipram,S1430,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,L1300-02,e8
Tizanidine HCl,S1437,Cl.Clc1ccc2nsnc2c1NC1=NCCN1,L1300-02,a9
Tranilast (SB 252218),S1439,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,L1300-02,c9
Venlafaxine,S1441,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,L1300-02,d9
Voriconazole,S1442,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,L1300-02,e9
Zonisamide,S1445,NS(=O)(=O)Cc1noc2ccccc12,L1300-02,h9
Naratriptan HCl,S1488,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1.Cl,L1300-02,h10
Febuxostat (Uloric),S1547,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,L1300-03,g1
Pimobendan (Vetmedin),S1550,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,L1300-03,a2
Tazarotene (Avage),S1569,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,L1300-03,c2
Pyridostigmine Bromide (Mestinon),S1608,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],L1300-03,e3
"Methimazole (Tapazole, Northyx)",S1609,Cn1cc[nH]c1=S,L1300-03,f3
Riluzole (Rilutek),S1614,Nc1nc2ccc(OC(F)(F)F)cc2s1,L1300-03,b4
Risperidone (Risperdal),S1615,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,L1300-03,c4
Prilocaine,S1619,CCCNC(C)C(=O)Nc1ccccc1C,L1300-03,e4
Prednisone (Adasone),S1622,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,L1300-03,g4
Acetylcysteine,S1623,CC(=O)N[C@@H](CS)C(=O)O,L1300-03,h4
Ethinyl Estradiol,S1625,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,L1300-03,a5
Naproxen (Aleve),S1626,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],L1300-03,b5
Triamcinolone Acetonide,S1628,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,L1300-03,d5
Allopurinol (Zyloprim),S1630,O=c1ncnc2[nH][nH]cc1-2,L1300-03,f5
Ibuprofen (Advil),S1638,CC(C)Cc1ccc(C(C)C(=O)O)cc1,L1300-03,b6
Albendazole (Albenza),S1640,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,L1300-03,d6
Ketoprofen (Actron),S1645,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,L1300-03,h6
Ketorolac (Toradol),S1646,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,L1300-03,a7
Zolmitriptan (Zomig),S1649,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,L1300-03,c7
Monobenzone (Benoquin),S1652,Oc1ccc(OCc2ccccc2)cc1,L1300-03,e7
"Phenylbutazone (Butazolidin, Butatron)",S1654,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,L1300-03,g7
Estrone,S1665,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,L1300-03,d8
Flurbiprofen (Ansaid),S1679,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,L1300-03,e9
Disulfiram (Antabuse),S1680,CCN(CC)C(=S)SSC(=S)N(CC)CC,L1300-03,f9
Ipratropium bromide,S1683,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.[Br-],L1300-03,h9
Betapar (Meprednisone),S1689,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,L1300-03,c10
Praziquantel (Biltricide),S1691,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,L1300-03,e10
"Busulfan (Myleran, Busulfex)",S1692,CS(=O)(=O)OCCCCOS(C)(=O)=O,L1300-03,f10
Carbamazepine (Carbatrol),S1693,NC(=O)N1c2ccccc2C=Cc2ccccc21,L1300-03,g10
Desonide,S1701,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,L1300-03,a11
Progesterone (Prometrium),S1705,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,L1300-03,e11
Estradiol,S1709,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,L1300-03,h11
"Indomethacin (Indocid, Indocin)",S1723,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,L1300-04,a2
"Terbinafine (Lamisil, Terbinex)",S1725,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,L1300-04,b2
Levonorgestrel (Levonelle),S1727,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,L1300-04,c2
Mitotane (Lysodren),S1732,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,L1300-04,f2
"Mesna (Uromitexan, Mesnex)",S1735,O=S(=O)([O-])CCS.[Na+],L1300-04,a3
Thiabendazole,S1739,c1ccc2[nH]c(-c3cscn3)nc2c1,L1300-04,e3
Guaifenesin (Guaiphenesin),S1740,COc1ccccc1OCC(O)CO,L1300-04,f3
Nevirapine (Viramune),S1742,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,L1300-04,h3
Niacin (Nicotinic acid),S1744,O=C(O)c1cccnc1,L1300-04,b4
Suprofen (Profenal),S1761,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,L1300-04,a5
Pyrazinamide (Pyrazinoic acid amide),S1762,NC(=O)c1cnccn1,L1300-04,b5
Chlorprothixene,S1771,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,L1300-04,h5
Ethionamide,S1777,CCc1cc(C(N)=S)ccn1,L1300-04,c6
Acetylcholine chloride,S1805,CC(=O)OCC[N+](C)(C)C.[Cl-],L1300-04,h7
Acipimox,S1806,Cc1cnc(C(=O)O)c[n+]1[O-],L1300-04,a8
Chlorpheniramine Maleate,S1816,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,L1300-04,f8
Erdosteine,S1825,O=C(O)CSCC(=O)NC1CCSC1=O,L1300-04,h8
Oxfendazole,S1830,COC(=O)Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1,L1300-04,d9
Albendazole Oxide (Ricobendazole),S1836,CCCS(=O)c1ccc2nc(NC(=O)OC)[nH]c2c1,L1300-04,a10
Chloroxine,S1839,Oc1c(Cl)cc(Cl)c2cccnc12,L1300-04,b10
Lomustine (CeeNU),S1840,O=NN(CCCl)C(=O)NC1CCCCC1,L1300-04,c10
Daidzein,S1849,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,L1300-04,h10
Diethylstilbestrol (Stilbestrol),S1859,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,L1300-04,d11
Diphenhydramine HCl (Benadryl),S1866,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,L1300-04,f11
Dapoxetine hydrochloride (Priligy),S1869,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1.Cl,L1300-04,g11
Protionamide (Prothionamide),S1881,CCCc1cc(C(N)=S)ccn1,L1300-05,c1
Felodipine (Plendil),S1885,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,L1300-05,f1
Potassium iodide,S1897,[I-].[K+],L1300-05,e2
Tropisetron,S1898,CN1[C@H]2CC[C@@H]1CC(OC(=O)C1C=Nc3ccccc31)C2.Cl,L1300-05,f2
Nicotinamide (Niacinamide),S1899,NC(=O)c1cccnc1,L1300-05,g2
Diclofenac,S1903,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],L1300-05,a3
Avobenzone (Parsol 1789),S1904,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,L1300-05,b3
Metronidazole (Flagyl),S1907,Cc1ncc([N+](=O)[O-])n1CCO,L1300-05,d3
Flutamide (Eulexin),S1908,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,L1300-05,e3
Tioconazole,S1910,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,L1300-05,g3
Tropicamide,S1913,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,L1300-05,h3
Pregnenolone,S1914,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,L1300-05,a4
Haloperidol (Haldol),S1920,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,L1300-05,e4
Phenindione (Rectadione),S1921,O=C1c2ccccc2C(=O)C1c1ccccc1,L1300-05,f4
Menadione,S1949,CC1=CC(=O)c2ccccc2C1=O,L1300-05,f5
Methoxsalen (Oxsoralen),S1952,COc1c2occc2cc2ccc(=O)oc12,L1300-05,g5
Sulbactam,S1958,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,L1300-05,b6
Tolfenamic acid,S1959,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,L1300-05,c6
Pranoprofen,S1960,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,L1300-05,d6
Rimantadine (Flumadine),S1964,CC(N)C12CC3CC(CC(C3)C1)C2,L1300-05,f6
Primidone (Mysoline),S1965,CCC1(c2ccccc2)C(=O)NCNC1=O,L1300-05,g6
Nefiracetam (Translon),S1969,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,L1300-05,h6
Methscopolamine (Pamine),S1978,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-],L1300-05,e7
Propylthiouracil,S1988,CCCc1cc(=O)[nH]c(=S)[nH]1,L1300-05,a8
Sulindac (Clinoril),S2007,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,L1300-05,h8
"Mirtazapine (Remeron, Avanza)",S2016,CN1CCN2c3ncccc3Cc3ccccc3C2C1,L1300-05,c9
Chlormezanone (Trancopal),S2021,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,L1300-05,f9
Ketotifen fumarate (Zaditor),S2024,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,L1300-05,g9
Epalrestat,S2035,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,L1300-05,g10
Dyclonine HCl,S2041,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,L1300-05,d11
Memantine HCl (Namenda),S2043,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,L1300-05,e11
Cyproheptadine HCl (Periactin),S2044,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl,L1300-05,f11
Pioglitazone hydrochloride (Actos),S2046,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,L1300-05,h11
Captopril (Capoten),S2051,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,L1300-06,b1
Gimeracil,S2055,O=c1cc(O)c(Cl)c[nH]1,L1300-06,f1
Tolnaftate,S2058,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,L1300-06,h1
Bromhexine HCl,S2060,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl,L1300-06,b2
Tiopronin (Thiola),S2062,CC(S)C(=O)NCC(=O)O,L1300-06,d2
Moxonidine,S2066,COc1nc(C)nc(Cl)c1NC1=NCCN1,L1300-06,g2
Ozagrel HCl,S2067,Cl.O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,L1300-06,h2
Mecarbinate,S2074,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,L1300-06,b3
Rosiglitazone HCl,S2075,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.Cl,L1300-06,c3
Duloxetine HCl (Cymbalta),S2084,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl,L1300-06,a4
Dexmedetomidine HCl (Precedex),S2090,Cc1cccc([C@H](C)c2cnc[nH]2)c1C.Cl,L1300-06,e4
Detomidine HCl,S2092,Cc1cccc(Cc2c[nH]cn2)c1C.Cl,L1300-06,g4
Rasagiline mesylate,S2102,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,L1300-06,e5
Naltrexone HCl,S2103,Cl.O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,L1300-06,f5
Licofelone,S2121,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,L1300-06,a7
Mestranol,S2125,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,L1300-06,d7
Naftopidil (Flivas),S2126,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,L1300-06,e7
S-(+)-Rolipram,S2127,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,L1300-06,f7
Roflumilast (Daxas),S2131,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,L1300-06,a8
DAPT (GSI-IX),S2215,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1,L1300-06,h8
Esomeprazole sodium (Nexium),S2233,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.[Na+],L1300-06,e9
Artemether (SM-224),S2264,CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,L1300-06,g9
DL-Carnitine hydrochloride,S2293,C[N+](C)(C)CC(O)CC(=O)O.[Cl-],L1300-06,h9
Nalidixic acid (NegGram),S2328,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,L1300-06,a10
Genipin,S2412,COC(=O)C1=CO[C@@H](O)[C@@H]2C(CO)=CC[C@H]12,L1300-06,a11
Tolbutamide,S2443,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,L1300-06,c11
Amantadine hydrochloride (Symmetrel),S2451,Cl.NC12CC3CC(CC(C3)C1)C2,L1300-06,e11
Amfebutamone (Bupropion),S2452,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,L1300-06,f11
Bupivacaine hydrochloride (Marcain),S2454,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,L1300-06,h11
Bethanechol chloride,S2455,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],L1300-07,a1
Chlorpromazine (Sonazine),S2456,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,L1300-07,b1
Clonidine hydrochloride (Catapres),S2458,Cl.Clc1cccc(Cl)c1NC1=NCCN1,L1300-07,d1
Clozapine (Clozaril),S2459,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,L1300-07,e1
Fenbendazole ,S2468,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,L1300-07,b2
Milrinone (Primacor),S2484,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,L1300-07,b3
Nateglinide (Starlix),S2489,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,L1300-07,f3
Olanzapine (Zyprexa),S2493,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,L1300-07,a4
Olopatadine hydrochloride (Opatanol),S2494,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,L1300-07,b4
Oxymetazoline hydrochloride,S2495,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl,L1300-07,c4
Ozagrel,S2496,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,L1300-07,d4
Phenoxybenzamine HCl,S2499,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,L1300-07,f4
Scopolamine hydrobromide,S2508,Br.CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,L1300-07,e5
Xylazine HCl,S2516,Cc1cccc(C)c1NC1=NCCCS1.Cl,L1300-07,b6
Maprotiline hydrochloride,S2517,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,L1300-07,c6
Naphazoline hydrochloride (Naphcon),S2519,Cl.c1ccc2c(CC3=NCCN3)cccc2c1,L1300-07,d6
Phenytoin sodium (Dilantin),S2524,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+],L1300-07,g6
Phenytoin (Lepitoin),S2525,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,L1300-07,h6
Ciclopirox (Penlac),S2528,Cc1cc(C2CCCCC2)n(O)c(=O)c1,L1300-07,b7
Secnidazole (Flagentyl),S2537,Cc1ncc([N+](=O)[O-])n1CC(C)O,L1300-07,h7
Acetanilide (Antifebrin),S2538,CC(=O)Nc1ccccc1,L1300-07,a8
Clomipramine HCl ,S2541,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,L1300-07,b8
Scopine,S2545,CN1[C@H]2C[C@H](O)C[C@@H]1[C@H]1O[C@@H]21,L1300-07,e8
Trospium chloride (Sanctura),S2549,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1.[Cl-],L1300-07,g8
Sulbactam sodium (Unasyn),S2551,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],L1300-07,a9
Azelastine hydrochloride (Astelin),S2552,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,L1300-07,b9
Rosiglitazone (Avandia),S2556,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,L1300-07,e9
Terbinafine hydrochloride (Lamisil),S2557,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12.Cl,L1300-07,f9
Cortisone acetate (Cortone),S2559,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,L1300-07,g9
Medroxyprogesterone acetate,S2567,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,L1300-07,e10
Prednisolone acetate (Omnipred),S2570,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,L1300-07,g10
Xylometazoline HCl,S2576,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,L1300-07,b11
Phenacetin,S2577,CCOc1ccc(NC(C)=O)cc1,L1300-07,c11
Brompheniramine,S2585,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,L1300-07,h11
Dimethyl Fumarate,S2586,COC(=O)/C=C/C(=O)OC,L1300-08,a1
Pioglitazone (Actos),S2590,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,L1300-08,c1
Gliclazide (Diamicron),S2601,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,L1300-08,h1
Tioxolone,S2603,O=c1oc2cc(O)ccc2s1,L1300-08,b2
Dehydroepiandrosterone (DHEA),S2604,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,L1300-08,c2
Mifepristone (Mifeprex),S2606,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,L1300-08,e2
Lonidamine,S2610,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,L1300-08,h2
Arecoline,S2614,Br.COC(=O)C1=CCCN(C)C1,L1300-08,b3
Paroxetine HCl,S3005,Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,L1300-08,d4
Zaltoprofen,S3008,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,L1300-08,f4
Aspirin (Acetylsalicylic acid),S3017,CC(=O)Oc1ccccc1C(=O)O,L1300-08,a5
Niflumic acid,S3018,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,L1300-08,b5
Bufexamac,S3023,CCCCOc1ccc(CC(=O)NO)cc1,L1300-08,f5
