,Item Name,Rack Number,Plate Location,CatalogNumber,Source Well
177,Clonidine hydrochloride (Catapres),L1300-07,d1,S2458,H10
178,Clonidine hydrochloride (Catapres),L1300-07,d1,S2458,H11
179,Clonidine hydrochloride (Catapres),L1300-07,d1,S2458,H12
180,Nithiamide,L1300-11,b3,S4232,H13
181,Nithiamide,L1300-11,b3,S4232,H14
182,Nithiamide,L1300-11,b3,S4232,H15
183,Nithiamide,L1300-11,b3,S4232,H16
184,Allopurinol (Zyloprim),L1300-03,f5,S1630,H17
185,Allopurinol (Zyloprim),L1300-03,f5,S1630,H18
186,Allopurinol (Zyloprim),L1300-03,f5,S1630,H19
187,Allopurinol (Zyloprim),L1300-03,f5,S1630,H20
188,Gimeracil,L1300-06,f1,S2055,H21
189,Gimeracil,L1300-06,f1,S2055,H22
190,Gimeracil,L1300-06,f1,S2055,H23
191,Gimeracil,L1300-06,f1,S2055,H24
192,Amantadine hydrochloride (Symmetrel),L1300-06,e11,S2451,I1
193,Amantadine hydrochloride (Symmetrel),L1300-06,e11,S2451,I2
194,Amantadine hydrochloride (Symmetrel),L1300-06,e11,S2451,I3
195,Amantadine hydrochloride (Symmetrel),L1300-06,e11,S2451,I4
196,Moguisteine,L1300-08,e9,S3104,I5
197,Moguisteine,L1300-08,e9,S3104,I6
198,Moguisteine,L1300-08,e9,S3104,I7
199,Moguisteine,L1300-08,e9,S3104,I8
200,Xylometazoline HCl,L1300-07,b11,S2576,I9
201,Xylometazoline HCl,L1300-07,b11,S2576,I10
202,Xylometazoline HCl,L1300-07,b11,S2576,I11
203,Xylometazoline HCl,L1300-07,b11,S2576,I12
204,Leflunomide,L1300-01,c9,S1247,I13
205,Leflunomide,L1300-01,c9,S1247,I14
206,Leflunomide,L1300-01,c9,S1247,I15
207,Leflunomide,L1300-01,c9,S1247,I16
208,Milrinone (Primacor),L1300-07,b3,S2484,I17
209,Milrinone (Primacor),L1300-07,b3,S2484,I18
210,Milrinone (Primacor),L1300-07,b3,S2484,I19
211,Milrinone (Primacor),L1300-07,b3,S2484,I20
212,Tioxolone,L1300-08,b2,S2603,I21
213,Tioxolone,L1300-08,b2,S2603,I22
214,Tioxolone,L1300-08,b2,S2603,I23
215,Tioxolone,L1300-08,b2,S2603,I24
216,Azaperone,L1300-11,g1,S4219,J1
217,Azaperone,L1300-11,g1,S4219,J2
218,Azaperone,L1300-11,g1,S4219,J3
219,Azaperone,L1300-11,g1,S4219,J4
220,Chlorocresol,L1300-10,h11,S4209,J5
221,Chlorocresol,L1300-10,h11,S4209,J6
222,Chlorocresol,L1300-10,h11,S4209,J7
223,Chlorocresol,L1300-10,h11,S4209,J8
224,Carmofur,L1300-02,b1,S1289,J9
225,Carmofur,L1300-02,b1,S1289,J10
226,Carmofur,L1300-02,b1,S1289,J11
227,Carmofur,L1300-02,b1,S1289,J12
228,"Mesna (Uromitexan, Mesnex)",L1300-04,a3,S1735,J13
229,"Mesna (Uromitexan, Mesnex)",L1300-04,a3,S1735,J14
230,"Mesna (Uromitexan, Mesnex)",L1300-04,a3,S1735,J15
231,"Mesna (Uromitexan, Mesnex)",L1300-04,a3,S1735,J16
232,Diphenhydramine HCl (Benadryl),L1300-04,f11,S1866,J17
233,Diphenhydramine HCl (Benadryl),L1300-04,f11,S1866,J18
234,Diphenhydramine HCl (Benadryl),L1300-04,f11,S1866,J19
235,Diphenhydramine HCl (Benadryl),L1300-04,f11,S1866,J20
236,Pyrithione zinc,L1300-10,a1,S4075,J21
237,Pyrithione zinc,L1300-10,a1,S4075,J22
238,Pyrithione zinc,L1300-10,a1,S4075,J23
239,Pyrithione zinc,L1300-10,a1,S4075,J24
240,Amprolium HCl,L1300-10,e5,S4144,K1
241,Amprolium HCl,L1300-10,e5,S4144,K2
242,Amprolium HCl,L1300-10,e5,S4144,K3
243,Amprolium HCl,L1300-10,e5,S4144,K4
244,Cyclandelate,L1300-10,f9,S4189,K5
245,Cyclandelate,L1300-10,f9,S4189,K6
246,Cyclandelate,L1300-10,f9,S4189,K7
247,Cyclandelate,L1300-10,f9,S4189,K8
248,Tolnaftate,L1300-06,h1,S2058,K9
249,Tolnaftate,L1300-06,h1,S2058,K10
250,Tolnaftate,L1300-06,h1,S2058,K11
251,Tolnaftate,L1300-06,h1,S2058,K12
252,Chlorpromazine (Sonazine),L1300-07,b1,S2456,K13
253,Chlorpromazine (Sonazine),L1300-07,b1,S2456,K14
254,Chlorpromazine (Sonazine),L1300-07,b1,S2456,K15
255,Chlorpromazine (Sonazine),L1300-07,b1,S2456,K16
256,Levetiracetam,L1300-02,d4,S1356,K17
257,Levetiracetam,L1300-02,d4,S1356,K18
258,Levetiracetam,L1300-02,d4,S1356,K19
259,Levetiracetam,L1300-02,d4,S1356,K20
260,Aspirin (Acetylsalicylic acid),L1300-08,a5,S3017,K21
261,Aspirin (Acetylsalicylic acid),L1300-08,a5,S3017,K22
262,Aspirin (Acetylsalicylic acid),L1300-08,a5,S3017,K23
263,Aspirin (Acetylsalicylic acid),L1300-08,a5,S3017,K24
264,Climbazole,L1300-10,e8,S4178,L1
265,Climbazole,L1300-10,e8,S4178,L2
266,Climbazole,L1300-10,e8,S4178,L3
267,Climbazole,L1300-10,e8,S4178,L4
268,Riluzole (Rilutek),L1300-03,b4,S1614,L5
269,Riluzole (Rilutek),L1300-03,b4,S1614,L6
270,Riluzole (Rilutek),L1300-03,b4,S1614,L7
271,Riluzole (Rilutek),L1300-03,b4,S1614,L8
272,Florfenicol,L1300-10,a11,S4201,L9
273,Florfenicol,L1300-10,a11,S4201,L10
274,Florfenicol,L1300-10,a11,S4201,L11
275,Florfenicol,L1300-10,a11,S4201,L12
276,Xylazine HCl,L1300-07,b6,S2516,L13
277,Xylazine HCl,L1300-07,b6,S2516,L14
278,Xylazine HCl,L1300-07,b6,S2516,L15
279,Xylazine HCl,L1300-07,b6,S2516,L16
280,Carbimazole,L1300-09,e9,S4048,L17
281,Carbimazole,L1300-09,e9,S4048,L18
282,Carbimazole,L1300-09,e9,S4048,L19
283,Carbimazole,L1300-09,e9,S4048,L20
284,Propylthiouracil,L1300-05,a8,S1988,L21
285,Propylthiouracil,L1300-05,a8,S1988,L22
286,Propylthiouracil,L1300-05,a8,S1988,L23
287,Propylthiouracil,L1300-05,a8,S1988,L24
288,Phenytoin sodium (Dilantin),L1300-07,g6,S2524,M1
289,Phenytoin sodium (Dilantin),L1300-07,g6,S2524,M2
290,Phenytoin sodium (Dilantin),L1300-07,g6,S2524,M3
291,Phenytoin sodium (Dilantin),L1300-07,g6,S2524,M4
292,Pilocarpine HCl,L1300-11,a3,S4231,M5
293,Pilocarpine HCl,L1300-11,a3,S4231,M6
294,Pilocarpine HCl,L1300-11,a3,S4231,M7
295,Pilocarpine HCl,L1300-11,a3,S4231,M8
296,Isovaleramide,L1300-10,e4,S4116,M9
297,Isovaleramide,L1300-10,e4,S4116,M10
298,Isovaleramide,L1300-10,e4,S4116,M11
299,Isovaleramide,L1300-10,e4,S4116,M12
300,Benzydamine Hydrochloride,L1300-10,b7,S4165,M13
301,Benzydamine Hydrochloride,L1300-10,b7,S4165,M14
302,Benzydamine Hydrochloride,L1300-10,b7,S4165,M15
303,Benzydamine Hydrochloride,L1300-10,b7,S4165,M16
304,Rasagiline mesylate,L1300-06,e5,S2102,M17
305,Rasagiline mesylate,L1300-06,e5,S2102,M18
306,Rasagiline mesylate,L1300-06,e5,S2102,M19
307,Rasagiline mesylate,L1300-06,e5,S2102,M20
308,Oxaprozin,L1300-11,h2,S4230,M21
309,Oxaprozin,L1300-11,h2,S4230,M22
310,Oxaprozin,L1300-11,h2,S4230,M23
311,Oxaprozin,L1300-11,h2,S4230,M24
312,Diphemanil methylsulfate,L1300-09,h7,S4034,N1
313,Diphemanil methylsulfate,L1300-09,h7,S4034,N2
314,Diphemanil methylsulfate,L1300-09,h7,S4034,N3
315,Diphemanil methylsulfate,L1300-09,h7,S4034,N4
316,Bromhexine HCl,L1300-06,b2,S2060,N5
317,Bromhexine HCl,L1300-06,b2,S2060,N6
318,Bromhexine HCl,L1300-06,b2,S2060,N7
319,Bromhexine HCl,L1300-06,b2,S2060,N8
320,Choline Chloride,L1300-10,g7,S4171,N9
321,Choline Chloride,L1300-10,g7,S4171,N10
322,Choline Chloride,L1300-10,g7,S4171,N11
323,Choline Chloride,L1300-10,g7,S4171,N12
324,Tolcapone,L1300-09,h6,S4021,N13
325,Tolcapone,L1300-09,h6,S4021,N14
326,Tolcapone,L1300-09,h6,S4021,N15
327,Tolcapone,L1300-09,h6,S4021,N16
328,Fenspiride HCl,L1300-10,f2,S4090,N17
329,Fenspiride HCl,L1300-10,f2,S4090,N18
330,Fenspiride HCl,L1300-10,f2,S4090,N19
331,Fenspiride HCl,L1300-10,f2,S4090,N20
332,Moclobemide,L1300-09,a5,S3212,N21
333,Moclobemide,L1300-09,a5,S3212,N22
334,Moclobemide,L1300-09,a5,S3212,N23
335,Moclobemide,L1300-09,a5,S3212,N24
336,Maprotiline hydrochloride,L1300-07,c6,S2517,O1
337,Maprotiline hydrochloride,L1300-07,c6,S2517,O2
338,Maprotiline hydrochloride,L1300-07,c6,S2517,O3
339,Maprotiline hydrochloride,L1300-07,c6,S2517,O4
340,Zaltoprofen,L1300-08,f4,S3008,O5
341,Zaltoprofen,L1300-08,f4,S3008,O6
342,Zaltoprofen,L1300-08,f4,S3008,O7
343,Zaltoprofen,L1300-08,f4,S3008,O8
344,Mitotane (Lysodren),L1300-04,f2,S1732,O9
345,Mitotane (Lysodren),L1300-04,f2,S1732,O10
346,Mitotane (Lysodren),L1300-04,f2,S1732,O11
347,Mitotane (Lysodren),L1300-04,f2,S1732,O12
348,Chlormezanone (Trancopal),L1300-05,f9,S2021,O13
349,Chlormezanone (Trancopal),L1300-05,f9,S2021,O14
350,Chlormezanone (Trancopal),L1300-05,f9,S2021,O15
351,Chlormezanone (Trancopal),L1300-05,f9,S2021,O16
352,Propranolol HCl,L1300-10,b1,S4076,O17
353,Propranolol HCl,L1300-10,b1,S4076,O18
354,Propranolol HCl,L1300-10,b1,S4076,O19
355,Propranolol HCl,L1300-10,b1,S4076,O20
356,Tioconazole,L1300-05,g3,S1910,O21
357,Tioconazole,L1300-05,g3,S1910,O22
358,Tioconazole,L1300-05,g3,S1910,O23
359,Tioconazole,L1300-05,g3,S1910,O24
360,Lansoprazole,L1300-02,c4,S1354,P1
361,Lansoprazole,L1300-02,c4,S1354,P2
362,Lansoprazole,L1300-02,c4,S1354,P3
363,Lansoprazole,L1300-02,c4,S1354,P4
364,Paroxetine HCl,L1300-08,d4,S3005,P5
365,Paroxetine HCl,L1300-08,d4,S3005,P6
366,Paroxetine HCl,L1300-08,d4,S3005,P7
367,Paroxetine HCl,L1300-08,d4,S3005,P8
368,Antazoline HCl,L1300-10,g10,S4199,P9
369,Antazoline HCl,L1300-10,g10,S4199,P10
370,Antazoline HCl,L1300-10,g10,S4199,P11
371,Antazoline HCl,L1300-10,g10,S4199,P12
372,Menadione,L1300-05,f5,S1949,P13
373,Menadione,L1300-05,f5,S1949,P14
374,Menadione,L1300-05,f5,S1949,P15
375,Menadione,L1300-05,f5,S1949,P16
376,Rufinamide (Banzel),L1300-01,h9,S1256,P17
377,Rufinamide (Banzel),L1300-01,h9,S1256,P18
378,Rufinamide (Banzel),L1300-01,h9,S1256,P19
379,Rufinamide (Banzel),L1300-01,h9,S1256,P20
380,Dicyclomine HCl,L1300-11,h9,S4373,P21
381,Dicyclomine HCl,L1300-11,h9,S4373,P22
382,Dicyclomine HCl,L1300-11,h9,S4373,P23
383,Dicyclomine HCl,L1300-11,h9,S4373,P24
