Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
Phenytoin sodium (Dilantin),S2524,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+],L1300-07,g6
Pilocarpine HCl,S4231,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,L1300-11,a3
Isovaleramide,S4116,CC(C)CC(N)=O,L1300-10,e4
Benzydamine Hydrochloride,S4165,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,L1300-10,b7
Rasagiline mesylate,S2102,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,L1300-06,e5
Oxaprozin,S4230,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,L1300-11,h2
Diphemanil methylsulfate,S4034,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,L1300-09,h7
Bromhexine HCl,S2060,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl,L1300-06,b2
Choline Chloride,S4171,C[N+](C)(C)CCO.[Cl-],L1300-10,g7
Tolcapone,S4021,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,L1300-09,h6
Fenspiride HCl,S4090,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,L1300-10,f2
Moclobemide,S3212,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,L1300-09,a5
Maprotiline hydrochloride,S2517,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,L1300-07,c6
Zaltoprofen,S3008,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,L1300-08,f4
Mitotane (Lysodren),S1732,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,L1300-04,f2
Chlormezanone (Trancopal),S2021,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,L1300-05,f9
Propranolol HCl,S4076,CC(C)NCC(O)COc1cccc2ccccc12.Cl,L1300-10,b1
Tioconazole,S1910,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,L1300-05,g3
Lansoprazole,S1354,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,L1300-02,c4
Paroxetine HCl,S3005,Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,L1300-08,d4
Antazoline HCl,S4199,Cl.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,L1300-10,g10
Menadione,S1949,CC1=CC(=O)c2ccccc2C1=O,L1300-05,f5
Rufinamide (Banzel),S1256,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,L1300-01,h9
Dicyclomine HCl,S4373,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,L1300-11,h9
