,Item Name,SMILES,Rack Number,Plate Location,CatalogNumber
20,Mercaptopurine,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",L1300-02,b2,S1305
21,Malotilate,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,L1300-01,h3,S1137
22,Chlorpropamide,"CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1 |c:15,t:10,12|",L1300-10,c7,S4166
23,Coumarin,"O=C1OC2=C(C=CC=C2)C=C1 |c:5,7,10,t:3|",L1300-10,f7,S4170
24,Betahistine 2HCl,"Cl.Cl.CNCCC1=NC=CC=C1 |c:6,8,t:4|",L1300-09,g2,S3176
25,Progesterone (Prometrium),"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |r,t:20|",L1300-03,e11,S1705
26,Lomustine (CeeNU),ClCCN(N=O)C(=O)NC1CCCCC1,L1300-04,c10,S1840
27,Allopurinol (Zyloprim),"O=C1N=CN=C2NNC=C12 |c:2,t:4,8|",L1300-03,f5,S1630
28,9-Aminoacridine,"NC1=C2C=CC=CC2=NC2=CC=CC=C12 |c:1,3,5,8,12,t:10,14|",L1300-11,c5,S4303
29,Bethanechol chloride,[Cl-].CC(C[N+](C)(C)C)OC(N)=O,L1300-07,a1,S2455
30,Pyridostigmine Bromide (Mestinon),"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",L1300-03,e3,S1608
31,Metronidazole (Flagyl),"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",L1300-05,d3,S1907
32,Isovaleramide,CC(C)CC(N)=O,L1300-10,e4,S4116
33,Scopine,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@H](O)C[C@@]2([H])N1C |r|,L1300-07,e8,S2545
34,Zoxazolamine,"NC1=NC2=C(O1)C=CC(Cl)=C2 |c:3,7,10,t:1|",L1300-11,c3,S4233
35,Rufinamide (Banzel),"NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1 |c:7,10,12,16,t:3|",L1300-01,h9,S1256
36,"Terbinafine (Lamisil, Terbinex)","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|",L1300-04,b2,S1725
37,Xylazine HCl,"Cl.CC1=CC=CC(C)=C1NC1=NCCCS1 |c:3,6,t:1,10|",L1300-07,b6,S2516
38,Ibuprofen (Advil),"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O |c:6,8,t:4|",L1300-03,b6,S1638
39,Zonisamide,"NS(=O)(=O)CC1=NOC2=CC=CC=C12 |c:10,t:5,8,12|",L1300-02,h9,S1445
40,Arecoline,Br.COC(=O)C1=CCCN(C)C1 |t:4|,L1300-08,b3,S2614
41,Procodazole,"OC(=O)CCC1=NC2=C(N1)C=CC=C2 |c:7,11,13,t:5|",L1300-12,d1,S4408
42,Moxonidine,"COC1=NC(C)=NC(Cl)=C1NC1=NCCN1 |c:5,8,t:2,12|",L1300-06,g2,S2066
43,Methylthiouracil,CC1=CC(=O)NC(=S)N1 |t:1|,L1300-08,c11,S3138
44,Nithiamide,"CC(=O)NC1=NC=C(S1)[N+]([O-])=O |c:6,t:4|",L1300-11,b3,S4232
45,PMSF (Phenylmethylsulfonyl Fluoride),"FS(=O)(=O)CC1=CC=CC=C1 |c:7,9,t:5|",L1300-08,h5,S3025
46,Cyclamic  acid,OS(=O)(=O)NC1CCCCC1,L1300-09,c6,S4015
47,Valproic acid sodium salt (Sodium valproate),[Na+].CCCC(CCC)C([O-])=O,L1300-01,f4,S1168
48,Mepiroxol,"OCC1=C[N+]([O-])=CC=C1 |c:5,7,t:2|",L1300-11,f6,S4333
49,Chlorocresol,"CC1=C(Cl)C=CC(O)=C1 |c:1,4,7|",L1300-10,h11,S4209
50,Antipyrine,"CN1N(C(=O)C=C1C)C1=CC=CC=C1 |c:5,11,13,t:9|",L1300-09,e2,S3173
51,Riluzole (Rilutek),"NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2 |c:3,14,t:1,7|",L1300-03,b4,S1614
52,Meclofenamate Sodium,"CC1=C(Cl)C(NC2=CC=CC=C2C(=O)O[Na])=C(Cl)C=C1 |c:1,8,10,19,t:6,16|",L1300-11,a5,S4295
53,Ciclopirox (Penlac),"CC1=CC(=O)N(O)C(=C1)C1CCCCC1 |c:7,t:1|",L1300-07,b7,S2528
54,Tripelennamine HCl,"Cl.CN(C)CCN(CC1=CC=CC=C1)C1=NC=CC=C1 |c:9,11,16,18,t:7,14|",L1300-08,g11,S3146
55,"Mesna (Uromitexan, Mesnex)",[Na+].[O-]S(=O)(=O)CCS,L1300-04,a3,S1735
56,Tioxolone,"OC1=CC=C2SC(=O)OC2=C1 |c:10,t:1,3|",L1300-08,b2,S2603
57,Pyrithione zinc,"O1N2C=CC=CC2=[S][Zn]11ON2C=CC=CC2=[S]1 |c:2,4,7,13,15,18|",L1300-10,a1,S4075
58,Pilocarpine HCl,"Cl.CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O |r,c:7,t:5|",L1300-11,a3,S4231
59,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O |r|,L1300-02,d4,S1356
60,Duloxetine HCl (Cymbalta),"Cl.CNCC[C@H](OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1 |r,c:6,8,10,13,15,20,t:18|",L1300-06,a4,S2084
61,Florfenicol,"CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl |r,c:6,8,t:4|",L1300-10,a11,S4201
62,Oxaprozin,"OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1 |c:7,13,15,20,22,t:5,11,18|",L1300-11,h2,S4230
63,Diphenylpyraline HCl ,"Cl.CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1 |c:12,14,19,21,t:10,17|",L1300-11,a6,S4321
64,Carmofur,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O |t:10|,L1300-02,b1,S1289
65,Ozagrel HCl,"Cl.OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1 |c:11,13,16,t:5,7|",L1300-06,h2,S2067
66,Triflusal,"CC(=O)OC1=CC(=CC=C1C(O)=O)C(F)(F)F |c:6,8,t:4|",L1300-09,c4,S3200
67,Leflunomide,"CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F |c:3,12,14,t:1,10|",L1300-01,c9,S1247
68,Carbimazole,CCOC(=O)N1C=CN(C)C1=S |c:6|,L1300-09,e9,S4048
69,"Phenylbutazone (Butazolidin, Butatron)","CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1 |c:14,16,21,23,t:12,19|",L1300-03,g7,S1654
70,Ethinyl Estradiol,"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H] |r,c:20,t:15,17|",L1300-03,a5,S1625
71,Amprolium HCl,"Cl.[Cl-].CCCC1=NC=C(C[N+]2=C(C)C=CC=C2)C(N)=N1 |c:8,11,13,17,t:3,5|",L1300-10,e5,S4144
72,Chlormezanone (Trancopal),"CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O |c:8,t:3,5|",L1300-05,f9,S2021
73,Climbazole,"CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1 |c:13,17,19,t:8,10|",L1300-10,e8,S4178
74,Rasagiline mesylate,"CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12 |r,c:13,t:11,15|",L1300-06,e5,S2102
75,Bemegride,CCC1(C)CC(=O)NC(=O)C1,L1300-10,e10,S4197
76,Anastrozole,"CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N |c:7,12,14,16,t:5|",L1300-01,a5,S1188
77,Menadione,"CC1=CC(=O)C2=CC=CC=C2C1=O |c:7,9,t:1,5|",L1300-05,f5,S1949
78,Phenytoin sodium (Dilantin),"[Na+].[O-]C1=NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:10,12,17,19,t:1,8,15|",L1300-07,g6,S2524
79,Bromhexine HCl,"Cl.CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1 |c:6,9,t:3|",L1300-06,b2,S2060
80,Choline Chloride,[Cl-].C[N+](C)(C)CCO,L1300-10,g7,S4171
81,Tolcapone,"CC1=CC=C(C=C1)C(=O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O |c:3,5,16,t:1,10,13|",L1300-09,h6,S4021
82,Diethylstilbestrol (Stilbestrol),"CC\C(C1=CC=C(O)C=C1)=C(\CC)C1=CC=C(O)C=C1 |c:8,19,t:3,5,14,16|",L1300-04,d11,S1859
83,Moclobemide,"ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1 |c:3,5,t:1|",L1300-09,a5,S3212
84,Mitotane (Lysodren),"ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1 |c:9,12,15,17,t:4,6|",L1300-04,f2,S1732
85,Moguisteine,"CCOC(=O)CC(=O)N1CCSC1COC1=CC=CC=C1OC |c:18,20,t:16|",L1300-08,e9,S3104
86,Lansoprazole,"CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1 |c:1,9,11,21,23,t:17,19|",L1300-02,c4,S1354
