,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
41,Decitabine,S1200,"NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1 |r,c:6,t:1|",L1300-01,b6
42,Dutasteride,S1202,"[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C |r,c:10,12,40,t:8|",L1300-01,c6
43,Melatonin,S1204,"COC1=CC2=C(NC=C2CCNC(C)=O)C=C1 |c:7,16,t:2,4|",L1300-01,d6
44,Bisoprolol fumarate,S1206,"OC(=O)\C=C\C(O)=O.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1 |c:28,t:16,18|",L1300-01,e6
45,Doxorubicin (Adriamycin),S1208,"Cl.[H][C@@]1(C[C@H](N)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(=O)C4=C(OC)C=CC=C4C3=O)C(O)=C12)C(=O)CO |r,c:17,24,28,30,t:20,37|",L1300-01,f6
46,Adrucil (Fluorouracil),S1209,FC1=CNC(=O)NC1=O |t:1|,L1300-01,g6
47,Abitrexate (Methotrexate),S1210,"CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O |r,c:5,11,14,19,21,t:3,8,17|",L1300-01,h6
48,Bendamustine HCL,S1212,"Cl.CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl |c:8,12,t:10,14|",L1300-01,a7
49,Nelarabine (Arranon),S1213,"COC1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O |r,c:5,7,10,t:2|",L1300-01,b7
50,Bleomycin sulfate,S1214,"OS([O-])(=O)=O.[H][C@]1(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]2O)[C@@H](OC([C@H](NC(=O)C2=C(C)C(N)=NC(=N2)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(=O)N[C@@H](C)[C@H](O)[C@@H](C)C(=O)N[C@H]([C@@H](C)O)C(=O)NCCC2=NC(=CS2)C2=NC(=CS2)C(=O)NCCC[S+](C)C)C2=CNC=N2)O[C@H](CO)[C@H](O)[C@H]1O |r,c:29,33,35,73,79,95,t:71,77,92|",L1300-01,c7
51,Clofarabine,S1218,"NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)C2=NC(Cl)=N1 |r,c:1,3,17,20|",L1300-01,d7
52,Dacarbazine (DTIC-Dome),S1221,"CN(C)\N=N\C1=C(N=CN1)C(N)=O |c:7,t:5|",L1300-01,e7
53,Dexrazoxane Hydrochloride,S1222,Cl.C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1 |r|,L1300-01,f7
54,Epirubicin HCl,S1223,"Cl.[H][C@@]1(C[C@H](N)[C@@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(=O)C4=C(OC)C=CC=C4C3=O)C(O)=C12)C(=O)CO |r,c:17,24,28,30,t:20,37|",L1300-01,g7
55,Oxaliplatin (Eloxatin),S1224,[Pt++].[O-]C(=O)C([O-])=O.N[C@@H]1CCCC[C@H]1N |r|,L1300-01,h7
56,"Etoposide (VP-16)
",S1225,"[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O |r,c:19,30,t:10,14,22,24|",L1300-01,a8
57,Evista (Raloxifene Hydrochloride),S1227,"Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2 |c:3,5,8,26,29,36,t:1,12,14,33|",L1300-01,b8
58,Idarubicin HCl,S1228,"Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(=O)C4=CC=CC=C4C3=O)C(O)=C12)C(C)=O |r,c:16,25,27,t:19,23,34|",L1300-01,c8
59,Fludarabine Phosphate (Fludara),S1229,"NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O |r,c:4,6,9,t:1|",L1300-01,d8
60,Topotecan HCl,S1231,"Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O |r,c:8,11,15,20,30,t:18,23|",L1300-01,e8
61,2-Methoxyestradiol,S1233,"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC(OC)=C(O)C=C3CC[C@@]21[H] |r,c:20,t:13,17|",L1300-01,f8
62,Letrozole,S1235,"N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N |c:4,6,11,13,18,20,t:2,16|",L1300-01,g8
63,Methazolastone,S1237,"CN1N=NC2=C(N=CN2C1=O)C(N)=O |c:2,6,t:4|",L1300-01,h8
64,Vincristine sulfate    ,S1241,"OS(O)(=O)=O.[H][C@@]12N3CCC11C4=C(C=C(OC)C(=C4)[C@]4(C[C@@]5([H])CN(C[C@](O)(CC)C5)CCC5=C4NC4=C5C=CC=C4)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC |r,c:17,35,39,42,44,68,t:11,13|",L1300-01,a9
65,Agomelatine,S1243,"COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1 |c:4,12,14,17,t:2|",L1300-01,b9
66,Leflunomide,S1247,"CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F |c:3,12,14,t:1,10|",L1300-01,c9
67,MDV3100 (Enzalutamide),S1250,"CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F |c:4,7,9,28,t:22,24|",L1300-01,d9
68,Dienogest,S1251,"[H][C@@]12CC[C@@](O)(CC#N)[C@@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@]21[H] |r,c:14,20|",L1300-01,e9
69,Entecavir hydrate,S1252,"O.NC1=NC(=O)C2=C(N1)N(C=N2)C1C[C@H](O)[C@@H](CO)C1=C |r,c:5,10,t:1,@@:9|",L1300-01,f9
70,Nepafenac,S1255,"NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N |c:6,13,15,17,t:4,11|",L1300-01,g9
71,Rufinamide (Banzel),S1256,"NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1 |c:7,10,12,16,t:3|",L1300-01,h9
72,Posaconazole,S1257,"CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(C2)C2=CC=C(F)C=C2F)C=C1 |r,c:7,15,17,39,41,51,55,t:13,27,29,46,48|",L1300-01,a10
73,Prasugrel (Effient),S1258,"CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1 |c:22,24,t:4,6,20|",L1300-01,b10
74,Ramelteon (TAK-375),S1259,"CCC(=O)NCC[C@@H]1CCC2=CC=C3OCCC3=C12 |r,t:10,12,18|",L1300-01,c10
75,AMG-073 HCl (Cinacalcet hydrochloride),S1260,"Cl.[H][C@](C)(NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=C1C=CC=C2 |r,c:9,11,20,22,25,27,t:7,18|",L1300-01,d10
76,Celecoxib,S1261,"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F |c:3,5,10,16,18,t:1,8,14|",L1300-01,e10
77,Vemurafenib (PLX4032),S1267,"CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F |c:20,31,33,t:7,9,15,18,22,26,28|",L1300-01,f10
78,Acarbose,S1271,"C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O |r,t:37|",L1300-01,g10
79,Adapalene,S1276,"COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2 |c:4,6,11,13,16,18,t:2,9|",L1300-01,h10
80,Altretamine (Hexalen),S1278,"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",L1300-01,a11
81,Amisulpride,S1280,"CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC |c:17,t:12,14|",L1300-01,b11
82,Aniracetam,S1281,"COC1=CC=C(C=C1)C(=O)N1CCCC1=O |c:4,6,t:2|",L1300-01,c11
83,Artemisinin,S1282,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4 |r|,L1300-01,d11
84,Asenapine,S1283,"OC(=O)\C=C/C(O)=O.[H][C@]12CN(C)C[C@]1([H])C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1 |r,c:16,19,22,24,27,30|",L1300-01,e11
85,Benazepril hydrochloride,S1284,"Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=C(C=CC=C2)N(CC(O)=O)C1=O |r,c:10,12,21,23,t:8,19|",L1300-01,f11
86,Budesonide,S1286,"[H][C@@]1(CCC)O[C@@H]2C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO |r,c:18,t:14|",L1300-01,g11
87,Bumetanide,S1287,"CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O |c:5,10,12,15,17,t:8|",L1300-01,h11
88,Camptothecin,S1288,"CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=CC1=C3)C2=O |r,c:8,11,15,20,22,25,t:18|",L1300-02,a1
89,Carmofur,S1289,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O |t:10|,L1300-02,b1
90,Cetirizine Dihydrochloride,S1291,"Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1 |c:17,19,27,t:15,22,24|",L1300-02,c1
91,Cilnidipine,S1293,"COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1 |c:7,12,18,20,34,36,t:16,32|",L1300-02,d1
92,Cilostazol,S1294,"O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2 |c:4,8,18,28,t:16|",L1300-02,e1
93,Floxuridine,S1299,"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O |r,t:10|",L1300-02,f1
94,Ftorafur,S1300,"FC1=CN([C@H]2CCCO2)C(=O)NC1=O |r,t:1|",L1300-02,g1
95,Ifosfamide,S1302,ClCCNP1(=O)OCCCN1CCCl,L1300-02,h1
96,Megestrol Acetate,S1304,"[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C |r,t:22,25|",L1300-02,a2
97,Mercaptopurine,S1305,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",L1300-02,b2
98,Streptozotocin (Zanosar),S1312,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O |r|,L1300-02,c2
99,Dexamethasone,S1322,"[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:28,t:24|",L1300-02,d2
100,Doxazosin mesylate,S1324,"CS(O)(=O)=O.COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=C(O1)C=CC=C2 |c:6,13,15,18,33,37,39,t:10|",L1300-02,e2
101,Edaravone (MCI-186),S1326,"CC1=NN(C(=O)C1)C1=CC=CC=C1 |c:10,12,t:1,8|",L1300-02,f2
102,Etodolac (Lodine),S1328,"CCC1=CC=CC2=C1NC1=C2CCO[C@]1(CC)CC(O)=O |r,c:4,6,10,t:2|",L1300-02,g2
103,Etomidate,S1329,"CCOC(=O)C1=CN=CN1C(C)C1=CC=CC=C1 |c:7,15,17,t:5,13|",L1300-02,h2
104,Felbamate,S1330,"NC(=O)OCC(COC(N)=O)C1=CC=CC=C1 |c:13,15,t:11|",L1300-02,a3
105,Fluconazole,S1331,"OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1 |c:4,6,11,13,16,22,t:19|",L1300-02,b3
106,Flumazenil,S1332,"CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1 |c:5,15,17,22,t:12|",L1300-02,c3
107,Fluoxetine  HCl,S1333,"Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1 |c:8,10,19,21,t:6,17|",L1300-02,d3
108,Fluvoxamine maleate,S1336,"OC(=O)\C=C/C(O)=O.COCCCC\C(C1=CC=C(C=C1)C(F)(F)F)=N/OCCN |c:16,18,t:14|",L1300-02,e3
109,Gatifloxacin,S1340,"COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1 |c:2,13,16,t:5|",L1300-02,f3
110,Genistein,S1342,"OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O |c:3,5,14,17,t:1,8,11|",L1300-02,g3
111,Glimepiride,S1344,"CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O |r,c:2,14,16,t:12|",L1300-02,h3
112,Ivermectin,S1351,"[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O |r,c:4,t:6,37,65|",L1300-02,a4
113,Ketoconazole,S1353,"CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1 |r,c:22,24,34,38,t:10,12,29,31|",L1300-02,b4
114,Lansoprazole,S1354,"CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1 |c:1,9,11,21,23,t:17,19|",L1300-02,c4
115,Levetiracetam,S1356,CC[C@H](N1CCCC1=O)C(N)=O |r|,L1300-02,d4
116,Lidocaine (Alphacaine),S1357,"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C |c:9,12,14|",L1300-02,e4
117,Loratadine,S1358,"CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2 |c:13,17,20,22,28,t:25|",L1300-02,f4
118,Losartan potassium,S1359,"[K].CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1 |c:16,18,23,25,30,t:4,7,14,21,28|",L1300-02,g4
119,Acitretin,S1368,"COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C |c:21,t:2,5|",L1300-02,h4
120,Doripenem Hydrate,S1374,"O.[H][C@]12[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O |r,c:17|",L1300-02,a5
121,Gestodene,S1376,"[H][C@@]12C=C[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H] |r,c:2,22|",L1300-02,b5
122,Drospirenone,S1377,"[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21 |r,t:37|",L1300-02,c5
123,Ruxolitinib (INCB018424),S1378,"N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2 |r,c:11,13,18,20,23,t:16|",L1300-02,d5
124,Isotretinoin,S1379,CC(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C/C(O)=O |c:4|,L1300-02,e5
